[2019-06-08 16:35:49,232]-[ERROR]-BusDataImportThread(211)--FTP取一卡通结算文件出错:
java.net.ConnectException: Connection timed out: connect
	at java.net.DualStackPlainSocketImpl.connect0(Native Method)
	at java.net.DualStackPlainSocketImpl.socketConnect(DualStackPlainSocketImpl.java:79)
	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:350)
	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:206)
	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:188)
	at java.net.PlainSocketImpl.connect(PlainSocketImpl.java:172)
	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
	at java.net.Socket.connect(Socket.java:589)
	at org.apache.commons.net.SocketClient.connect(SocketClient.java:163)
	at org.apache.commons.net.SocketClient.connect(SocketClient.java:184)
	at com.goldsign.commu.frame.thread.BusDataImportThread.ftpLogin(BusDataImportThread.java:463)
	at com.goldsign.commu.frame.thread.BusDataImportThread.getFile(BusDataImportThread.java:133)
	at com.goldsign.commu.frame.thread.BusDataImportThread.handle(BusDataImportThread.java:104)
	at com.goldsign.commu.frame.thread.BusDataImportThread.run(BusDataImportThread.java:52)
	at java.lang.Thread.run(Thread.java:748)
[2019-06-08 16:35:49,234]-[INFO]-BusDataImportThread(105)下载成功数量:0
[2019-06-08 16:35:49,298]-[INFO]-BusDataDao(33)banlanceWaterNo:2018093001,fileType:trx
[2019-06-08 16:35:49,310]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,310]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,312]-[INFO]-BusDataDao(33)banlanceWaterNo:2018112001,fileType:trx
[2019-06-08 16:35:49,314]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,314]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,316]-[INFO]-BusDataDao(33)banlanceWaterNo:2018122401,fileType:trx
[2019-06-08 16:35:49,317]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,318]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,319]-[INFO]-BusDataDao(33)banlanceWaterNo:2018123101,fileType:trx
[2019-06-08 16:35:49,321]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,321]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,323]-[INFO]-BusDataDao(33)banlanceWaterNo:2019010301,fileType:trx
[2019-06-08 16:35:49,325]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,325]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,327]-[INFO]-BusDataDao(33)banlanceWaterNo:2019010501,fileType:trx
[2019-06-08 16:35:49,329]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,329]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,331]-[INFO]-BusDataDao(33)banlanceWaterNo:2019010601,fileType:trx
[2019-06-08 16:35:49,333]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,333]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,335]-[INFO]-BusDataDao(33)banlanceWaterNo:2019011001,fileType:trx
[2019-06-08 16:35:49,336]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
[2019-06-08 16:35:49,337]-[INFO]-BusDataImportThread(310)--------地铁公交交易、清算文件目录未生成------------
[2019-06-08 16:35:49,339]-[INFO]-BusDataDao(33)banlanceWaterNo:2019032001,fileType:trx
[2019-06-08 16:35:49,340]-[WARN]-BusDataImportThread(279)--准备FTP登录一卡通中心上传文件.
